joke|categoryId
Chuck Norris uses ribbed condoms inside out, so he gets the pleasure.|5
MacGyver can build an airplane out of gum and paper clips. Chuck Norris can kill him and take it.|NULL
Chuck Norris doesn't read books. He stares them down until he gets the information he wants.|NULL
If you ask Chuck Norris what time it is, he always answers 'Two seconds till'. After you ask 'Two seconds to what?', he roundhouse kicks you in the face.|NULL
Chuck Norris lost his virginity before his dad did.|5
Since 1940, the year Chuck Norris was born, roundhouse kick related deaths have increased 13,000 percent.|NULL
Chuck Norris sheds his skin twice a year.|NULL
Chuck Norris once challenged Lance Armstrong in a 'Who has more testicles?' contest. Chuck Norris won by 5.|5
There are no steroids in baseball. Just players Chuck Norris has breathed on.|NULL
When Chuck Norris goes to donate blood, he declines the syringe, and instead requests a hand gun and a bucket.|NULL
Pluto is actually an orbiting group of British soldiers from the American Revolution who entered space after the Chuck gave them a roundhouse kick to the face.|NULL
Chuck Norris does not teabag the ladies. He potato-sacks them.|5
According to the Encyclopedia Brittanica, the Native American 'Trail of Tears' has been redefined as anywhere that Chuck Norris walks.|NULL
In an average living room there are 1,242 objects Chuck Norris could use to kill you, including the room itself.|NULL
The Chuck Norris military unit was not used in the game Civilization 4, because a single Chuck Norris could defeat the entire combined nations of the world in one turn.|10
Chuck Norris doesn't shower, he only takes blood baths.|NULL
Time waits for no man. Unless that man is Chuck Norris.|NULL
Chuck Norris can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell 'What The Hell was That?'.|NULL
In the Bible, Jesus turned water into wine. But then Chuck Norris turned that wine into beer.|NULL
Chuck Norris is the only human being to display the Heisenberg uncertainty principle - you can never know both exactly where and how quickly he will roundhouse-kick you in the face.|10
Faster than a speeding bullet... More powerful than a locomotive... Able to leap tall buildings in a single bound... These are some of Chuck Norris's warm-up exercises.|NULL
Chuck Norris is not hung like a horse. Horses are hung like Chuck Norris.|NULL
Teenage Mutant Ninja Turtles is based on a true story: Chuck Norris once swallowed a turtle whole, and when he crapped it out, the turtle was six feet tall and had learned karate.|NULL
Someone once tried to tell Chuck Norris that roundhouse kicks aren't the best way to kick someone. This has been recorded by historians as the worst mistake anyone has ever made.|NULL
Chuck Norris has two speeds: Walk and Kill.|NULL
Chuck Norris once shot down a German fighter plane with his finger. By yelling 'Bang!'|NULL
The opening scene of the movie 'Saving Private Ryan' is loosely based on games of dodgeball Chuck Norris played in second grade.|NULL
Fool me once, shame on you. Fool Chuck Norris once and he will roundhouse kick you in the face.|NULL
Chuck Norris originally appeared in the 'Street Fighter II' video game, but was removed by Beta Testers because every button caused him to do a roundhouse kick. When asked about this glitch, Norris replied 'That's no glitch.'|10
