ICNDB Container;Attack Container;Parallel Users;Requests/User;Total requests;Mean Req/s;50th percentile (in ms);75th percentile (in ms);95th percentile (in ms);99th percentile (in ms);Min (in ms);Max (in ms);Mean (in ms);Success rate (in %)
1;1;300;300;90.000;6.923;36;40;65;106;1;488;39;100
1;2;300;300;180.000;7.200;67;78;99;130;0;419;62;100
1;3;300;300;270.000;5.510;70;78;98;143;0;793;65;100
1;4;300;300;360.000;7.500;73;95;127;172;0;608;74;100
1;5;300;300;450.000;7.627;73;90;139;294;1;1.582;78;100
1;6;300;300;540.000;7.200;194;227;266;302;0;1.351;183;100
3;6;300;300;540.000;6.067;250;281;362;429;0;1.963;251;100
3;1;600;500;300.000;8.823;60;72;104;177;0;761;62;100
3;2;600;500;600.000;7.142;158;173;206;184;0;1.927;160;100
3;3;600;500;900.000;7.627;200;223;252;303;0;1.679;183;100
3;4;600;500;1.200.000;6.382;321;352;421;469;0;1.427;305;100
3;5;600;500;1.500.000;7.317;368;401;455;528;0;3.363;338;100
3;6;600;500;1.800.000;6.451;494;530;636;743;1;2.102;489;100
3;1;1.000;800;800.000;9.411;101;111;136;206;0;875;102;100
3;2;1.000;800;1.600.000;7.373;264;282;317;353;0;1.212;255;100
3;3;1.000;800;2.400.000;7.843;364;387;424;466;0;1.879;344;100
3;4;1.000;800;3.200.000;7.002;545;590;675;733;1;1.273;523;100
3;5;1.000;800;4.000.000;7.299;665;707;788;900;1;3.239;655;100
3;6;1.000;800;4.800.000;6.916;848;899;996;1.113;1;3.946;836;100
